timestamp,role,flow,packets,bytes
1789402109.626727820,axiom,quic_in,30469,1873815
1789402109.626727820,axiom,quic_out,119643,121602286
1789402110.846069914,acorn,client_in,2319,217174
1789402110.846069914,acorn,client_out,132995,116468064
1789402110.846069914,acorn,quic_in,121593,122519249
1789402110.846069914,acorn,quic_out,30726,1888653
1789402114.631421699,axiom,quic_in,31796,1951486
1789402114.631421699,axiom,quic_out,124870,126931953
1789402115.880516837,acorn,client_in,2395,222042
1789402115.880516837,acorn,client_out,138729,121491964
1789402115.880516837,acorn,quic_in,126820,127787428
1789402115.880516837,acorn,quic_out,32020,1964552
1789402119.635329512,axiom,quic_in,33090,2027490
1789402119.635329512,axiom,quic_out,130030,132193696
1789402120.913342906,acorn,client_in,2477,227194
1789402120.913342906,acorn,client_out,144503,126555842
1789402120.913342906,acorn,quic_in,132098,133113504
1789402120.913342906,acorn,quic_out,33327,2041486
1789402124.639300139,axiom,quic_in,34400,2104422
1789402124.639300139,axiom,quic_out,135216,137457122
1789402125.943564131,acorn,client_in,2554,232110
1789402125.943564131,acorn,client_out,150263,131610946
1789402125.943564131,acorn,quic_in,137362,138430442
1789402125.943564131,acorn,quic_out,34621,2117414
1789402129.643306416,axiom,quic_in,35649,2177945
1789402129.643306416,axiom,quic_out,140387,142719255
1789402130.971333388,acorn,client_in,2633,237138
1789402130.971333388,acorn,client_out,156028,136667614
1789402130.971333388,acorn,quic_in,142635,143748599
1789402130.971333388,acorn,quic_out,35876,2191356
1789402134.647336904,axiom,quic_in,36920,2252644
1789402134.647336904,axiom,quic_out,145617,148049115
1789402136.023577429,acorn,client_in,2710,242028
1789402136.023577429,acorn,client_out,161790,141720034
1789402136.023577429,acorn,quic_in,147893,149062178
1789402136.023577429,acorn,quic_out,37207,2269284
1789402139.651532604,axiom,quic_in,38296,2332983
1789402139.651532604,axiom,quic_out,150807,153329059
1789402141.053262037,acorn,client_in,2787,246970
1789402141.053262037,acorn,client_out,167547,146769872
1789402141.053262037,acorn,quic_in,153148,154374014
1789402141.053262037,acorn,quic_out,38574,2349212
1789402144.655653689,axiom,quic_in,39562,2407427
1789402144.655653689,axiom,quic_out,155951,158561847
1789402146.087439758,acorn,client_in,2864,251860
1789402146.087439758,acorn,client_out,173305,151822496
1789402146.087439758,acorn,quic_in,158398,159686118
1789402146.087439758,acorn,quic_out,39838,2423543
1789402149.659707030,axiom,quic_in,40825,2481528
1789402149.659707030,axiom,quic_out,161171,163883052
1789402151.127579181,acorn,client_in,2940,256692
1789402151.127579181,acorn,client_out,179100,156910512
1789402151.127579181,acorn,quic_in,163700,165037466
1789402151.127579181,acorn,quic_out,41087,2496914
1789402154.663722673,axiom,quic_in,42116,2557273
1789402154.663722673,axiom,quic_out,166354,169157432
1789402156.154422369,acorn,client_in,3018,261584
1789402156.154422369,acorn,client_out,184812,161912988
1789402156.154422369,acorn,quic_in,168922,170299670
1789402156.154422369,acorn,quic_out,42363,2571781
1789402159.667792410,axiom,quic_in,43345,2629382
1789402159.667792410,axiom,quic_out,171541,174424299
1789402161.193970470,acorn,client_in,3093,266378
1789402161.193970470,acorn,client_out,190573,166966754
1789402161.193970470,acorn,quic_in,174191,175614611
1789402161.193970470,acorn,quic_out,43619,2645504
1789402164.671620847,axiom,quic_in,44684,2707791
1789402164.671620847,axiom,quic_out,176714,179694448
1789402166.219491730,acorn,client_in,3171,271342
1789402166.219491730,acorn,client_out,196362,172053860
1789402166.219491730,acorn,quic_in,179484,180964553
1789402166.219491730,acorn,quic_out,44995,2725986
1789402169.675780675,axiom,quic_in,46022,2786101
1789402169.675780675,axiom,quic_out,181930,185015502
1789402171.257172171,acorn,client_in,3247,276174
1789402171.257172171,acorn,client_out,202133,177116936
1789402171.257172171,acorn,quic_in,184752,186289266
1789402171.257172171,acorn,quic_out,46365,2806057
1789402174.679864333,axiom,quic_in,47351,2864095
1789402174.679864333,axiom,quic_out,187110,190288286
1789402176.293906077,acorn,client_in,3327,281286
1789402176.293906077,acorn,client_out,207864,182136592
1789402176.293906077,acorn,quic_in,189989,191569046
1789402176.293906077,acorn,quic_out,47647,2881525
