timestamp,role,flow,packets,bytes
1789402981.994217184,acorn,client_in,2651,168572
1789402981.994217184,acorn,client_out,125364,96461188
1789402981.994217184,acorn,quic_in,108735,102104368
1789402981.994217184,acorn,quic_out,37500,2223722
1789402985.351986165,axiom,quic_in,38290,2270600
1789402985.351986165,axiom,quic_out,111044,104374200
1789402987.029864458,acorn,client_in,2727,173414
1789402987.029864458,acorn,client_out,129043,99294122
1789402987.029864458,acorn,quic_in,111928,105102993
1789402987.029864458,acorn,quic_out,38557,2286496
1789402990.355987299,axiom,quic_in,39339,2332997
1789402990.355987299,axiom,quic_out,114213,107353950
1789402992.067264996,acorn,client_in,2803,178256
1789402992.067264996,acorn,client_out,132725,102128208
1789402992.067264996,acorn,quic_in,115121,108109508
1789402992.067264996,acorn,quic_out,39589,2347950
